Test,Scenario,Model,tp,fp,tn,fn,SNM_precision,SNM_recall,SNM_fscore,SNM_fpr,SNM_ifa,SNM_ap,SNM_rr,SNM_cr,SNM_roi,SNM_mcc,SNM_ifap,SNM_cr_ifa,SNM_pii_ifa,tp20,fp20,tn20,fn20,SSC_precision,SSC_recall,SSC_fscore,SSC_fpr,SSC_ifa,SSC_ap,SSC_rr,SSC_pii,SSC_roi,SSC_mcc,SSC_ifap,SSC_cr_ifa,SSC_pii_ifa,SSC_rcr
MDP-PC1,cpdp,CLA,51,312,386,10,0.140495868,0.836065574,0.240566038,0.446991404,4,0.108552088,0.2,0.795943371,1.050408364,0.211750343,1.17E-05,0.002223432,0.005270092,20,161,537,41,0.110497238,0.327868852,0.165289256,0.230659026,4,0.104929854,0.2,0.238471673,1.37944482,0.062015406,1.17E-05,0.002223432,0.005270092,0.99668754
MDP-PC2,cpdp,CLA,16,721,848,0,0.021709634,1,0.04249668,0.459528362,147,0.016525093,0.006756757,0.703785489,1.420887494,0.10832101,0.004242255,0.045741325,0.092744479,9,371,1198,7,0.023684211,0.5625,0.045454545,0.236456342,147,0.013112118,0.006756757,0.239747634,2.353641843,0.076341713,0.004242255,0.045741325,0.092744479,0.996845426
MDP-PC3,cpdp,CLA,115,445,540,25,0.205357143,0.821428571,0.328571429,0.45177665,3,0.204913082,0.25,0.814787371,1.008150839,0.244037667,5.15E-07,1.93E-04,0.002666667,52,239,746,88,0.178694158,0.371428571,0.241299304,0.242639594,3,0.214459315,0.25,0.258666667,1.438484059,0.097080344,5.15E-07,1.93E-04,0.002666667,0.998228093
MDP-PC4,cpdp,CLA,130,550,671,48,0.191176471,0.730337079,0.303030303,0.45045045,0,0.163432771,1,0.825203855,0.885038375,0.186608354,0,0,0,46,286,935,132,0.138554217,0.258426966,0.180392157,0.234234234,0,0.15236099,1,0.237312366,1.090388387,0.018949663,0,0,0,0.998702743
MDP-PC5,cpdp,CLA,493,5544,10954,10,0.081663078,0.980119284,0.150764526,0.336040732,2708,0.011819851,3.69E-04,0.884235282,1.108437205,0.228056985,0.005607617,0.035204982,0.159284748,222,5218,11280,281,0.040808824,0.441351889,0.074709743,0.316280761,2708,0.006590397,3.69E-04,0.319981178,1.380393904,0.045431759,0.005607617,0.035204982,0.159284748,0.999211732
NETGENE-httpclient,cpdp,CLA,60,15,40,36,0.8,0.625,0.701754386,0.272727273,2,0.699868525,0.333333333,0.714349561,0.874921795,0.339045945,1.99E-05,0.001500399,0.013245033,25,7,48,71,0.78125,0.260416667,0.390625,0.127272727,2,0.612018074,0.333333333,0.21192053,1.284506512,0.156779723,1.99E-05,0.001500399,0.013245033,0.956664006
NETGENE-jackrabbit,cpdp,CLA,98,51,104,36,0.657718121,0.731343284,0.692579505,0.329032258,0,0.732253504,1,0.833637481,0.877291749,0.401442206,0,0,0,56,17,138,78,0.767123288,0.417910448,0.541062802,0.109677419,0,0.713023844,1,0.252595156,1.682935034,0.353760318,0,0,0,0.983084525
NETGENE-lucene,cpdp,CLA,134,273,418,75,0.329238329,0.641148325,0.435064935,0.395079595,62,0.266293889,0.015873016,0.412307254,1.555025578,0.208760309,0.00309979,0.04499695,0.068888889,82,176,515,127,0.317829457,0.392344498,0.35117773,0.254703329,62,0.237518539,0.015873016,0.286666667,1.371248568,0.12852368,0.00309979,0.04499695,0.068888889,0.998100292
NETGENE-rhino,cpdp,CLA,63,16,84,18,0.797468354,0.777777778,0.7875,0.16,4,0.625604238,0.2,0.853995454,0.910751661,0.61938568,1.61E-04,0.007285656,0.022099448,21,13,87,60,0.617647059,0.259259259,0.365217391,0.13,4,0.504720878,0.2,0.187845304,1.443661047,0.164553092,1.61E-04,0.007285656,0.022099448,0.95602378
RELINK-Apache2.0,cpdp,CLA,69,26,70,29,0.726315789,0.704081633,0.715025907,0.270833333,3,0.598986476,0.25,0.908181499,0.775265333,0.433317392,9.22E-05,0.005962023,0.015463918,30,16,80,68,0.652173913,0.306122449,0.416666667,0.166666667,3,0.491085174,0.25,0.237113402,1.3215843,0.163936405,9.22E-05,0.005962023,0.015463918,0.976886722
RELINK-openintents,cpdp,CLA,16,8,26,6,0.666666667,0.727272727,0.695652174,0.235294118,0,0.512084407,1,0.900752245,0.807405956,0.485530381,0,0,0,5,6,28,17,0.454545455,0.227272727,0.303030303,0.176470588,0,0.4777581,1,0.196428571,1.25641612,0.062449677,0,0,0,0.920892987
RELINK-zxing1.6,cpdp,CLA,68,106,175,50,0.390804598,0.576271186,0.465753425,0.377224199,5,0.312335357,0.166666667,0.867457654,0.664321981,0.183182461,6.06E-05,0.004839591,0.012531328,37,59,222,81,0.385416667,0.313559322,0.345794393,0.209964413,5,0.264859623,0.166666667,0.240601504,1.305881226,0.110605226,6.06E-05,0.004839591,0.012531328,0.997970494
